target entry name	locus type
WeinellEntry3249	short exon fragment
WeinellEntry3250	short exon fragment
WeinellEntry3251	short exon fragment
WeinellEntry3252	short exon fragment
WeinellEntry3253	short exon fragment
WeinellEntry3254	short exon fragment
WeinellEntry3255	short exon fragment
WeinellEntry3256	short exon fragment
WeinellEntry3257	short exon fragment
WeinellEntry3258	short exon fragment
WeinellEntry3259	short exon fragment
WeinellEntry3260	short exon fragment
WeinellEntry3261	short exon fragment
WeinellEntry3262	short exon fragment
WeinellEntry3263	short exon fragment
WeinellEntry3264	short exon fragment
WeinellEntry3265	short exon fragment
WeinellEntry3266	short exon fragment
WeinellEntry3267	short exon fragment
WeinellEntry3268	short exon fragment
WeinellEntry3269	short exon fragment
WeinellEntry3270	short exon fragment
WeinellEntry3271	short exon fragment
WeinellEntry3272	short exon fragment
WeinellEntry3273	short exon fragment
WeinellEntry3274	short exon fragment
WeinellEntry3275	short exon fragment
WeinellEntry3276	short exon fragment
WeinellEntry3277	short exon fragment
WeinellEntry3278	short exon fragment
WeinellEntry3280	short exon fragment
WeinellEntry3281	short exon fragment
WeinellEntry3282	short exon fragment
WeinellEntry3283	short exon fragment
WeinellEntry3284	short exon fragment
WeinellEntry3285	short exon fragment
WeinellEntry3286	short exon fragment
WeinellEntry3287	short exon fragment
WeinellEntry3288	short exon fragment
WeinellEntry3289	short exon fragment
WeinellEntry3290	short exon fragment
WeinellEntry3291	short exon fragment
WeinellEntry3292	short exon fragment
WeinellEntry3293	short exon fragment
WeinellEntry3294	short exon fragment
WeinellEntry3295	short exon fragment
WeinellEntry3296	short exon fragment
WeinellEntry3297	short exon fragment
WeinellEntry3298	short exon fragment
WeinellEntry3299	short exon fragment
WeinellEntry3300	short exon fragment
WeinellEntry3301	short exon fragment
WeinellEntry3302	short exon fragment
WeinellEntry3303	short exon fragment
WeinellEntry3304	short exon fragment
WeinellEntry3305	short exon fragment
WeinellEntry3306	short exon fragment
WeinellEntry3307	short exon fragment
WeinellEntry3308	short exon fragment
WeinellEntry3309	short exon fragment
WeinellEntry3310	short exon fragment
WeinellEntry3311	short exon fragment
WeinellEntry3312	short exon fragment
WeinellEntry3313	short exon fragment
WeinellEntry3314	short exon fragment
WeinellEntry3315	short exon fragment
WeinellEntry3316	short exon fragment
WeinellEntry3317	short exon fragment
WeinellEntry3318	short exon fragment
WeinellEntry3319	short exon fragment
WeinellEntry3320	short exon fragment
WeinellEntry3321	short exon fragment
WeinellEntry3322	short exon fragment
WeinellEntry3323	short exon fragment
WeinellEntry3324	short exon fragment
WeinellEntry3325	short exon fragment
WeinellEntry3326	short exon fragment
WeinellEntry3327	short exon fragment
WeinellEntry3328	short exon fragment
WeinellEntry3329	short exon fragment
WeinellEntry3330	short exon fragment
WeinellEntry3331	short exon fragment
WeinellEntry3332	short exon fragment
WeinellEntry3333	short exon fragment
WeinellEntry3334	short exon fragment
WeinellEntry3336	short exon fragment
WeinellEntry3337	short exon fragment
WeinellEntry3338	short exon fragment
WeinellEntry3339	short exon fragment
WeinellEntry3340	short exon fragment
WeinellEntry3341	short exon fragment
WeinellEntry3342	short exon fragment
WeinellEntry3344	short exon fragment
WeinellEntry3345	short exon fragment
WeinellEntry3346	short exon fragment
WeinellEntry3347	short exon fragment
WeinellEntry3348	short exon fragment
WeinellEntry3350	short exon fragment
WeinellEntry3351	short exon fragment
WeinellEntry3353	short exon fragment
WeinellEntry3354	short exon fragment
WeinellEntry3355	short exon fragment
WeinellEntry3356	short exon fragment
WeinellEntry3357	short exon fragment
WeinellEntry3358	short exon fragment
WeinellEntry3359	short exon fragment
WeinellEntry3360	short exon fragment
WeinellEntry3361	short exon fragment
WeinellEntry3363	short exon fragment
WeinellEntry3364	short exon fragment
WeinellEntry3365	short exon fragment
WeinellEntry3366	short exon fragment
WeinellEntry3367	short exon fragment
WeinellEntry3369	short exon fragment
WeinellEntry3370	short exon fragment
WeinellEntry3371	short exon fragment
WeinellEntry3372	short exon fragment
WeinellEntry3373	short exon fragment
WeinellEntry3374	short exon fragment
WeinellEntry3375	short exon fragment
WeinellEntry3376	short exon fragment
WeinellEntry3377	short exon fragment
WeinellEntry3378	short exon fragment
WeinellEntry3379	short exon fragment
WeinellEntry3380	short exon fragment
WeinellEntry3381	short exon fragment
WeinellEntry3382	short exon fragment
WeinellEntry3383	short exon fragment
WeinellEntry3384	short exon fragment
WeinellEntry3385	short exon fragment
WeinellEntry3386	short exon fragment
WeinellEntry3387	short exon fragment
WeinellEntry3389	short exon fragment
WeinellEntry3390	short exon fragment
WeinellEntry3391	short exon fragment
WeinellEntry3392	short exon fragment
WeinellEntry3393	short exon fragment
WeinellEntry3394	short exon fragment
WeinellEntry3395	short exon fragment
WeinellEntry3396	short exon fragment
WeinellEntry3397	short exon fragment
WeinellEntry3398	short exon fragment
WeinellEntry3399	short exon fragment
WeinellEntry3400	short exon fragment
WeinellEntry3401	short exon fragment
WeinellEntry3402	short exon fragment
WeinellEntry3403	short exon fragment
WeinellEntry3404	short exon fragment
WeinellEntry3405	short exon fragment
WeinellEntry3406	short exon fragment
WeinellEntry3407	short exon fragment
WeinellEntry3408	short exon fragment
WeinellEntry3409	short exon fragment
WeinellEntry3410	short exon fragment
WeinellEntry3411	short exon fragment
WeinellEntry3412	short exon fragment
WeinellEntry3413	short exon fragment
WeinellEntry3414	short exon fragment
WeinellEntry3415	short exon fragment
WeinellEntry3416	short exon fragment
WeinellEntry3417	short exon fragment
WeinellEntry3418	short exon fragment
WeinellEntry3419	short exon fragment
WeinellEntry3420	short exon fragment
WeinellEntry3421	short exon fragment
WeinellEntry3422	short exon fragment
WeinellEntry3423	short exon fragment
WeinellEntry3424	short exon fragment
WeinellEntry3425	short exon fragment
WeinellEntry3426	short exon fragment
WeinellEntry3427	short exon fragment
WeinellEntry3428	short exon fragment
WeinellEntry3429	short exon fragment
WeinellEntry3430	short exon fragment
WeinellEntry3431	short exon fragment
WeinellEntry3432	short exon fragment
WeinellEntry3433	short exon fragment
WeinellEntry3434	short exon fragment
WeinellEntry3435	short exon fragment
WeinellEntry3436	short exon fragment
WeinellEntry3437	short exon fragment
WeinellEntry3438	short exon fragment
WeinellEntry3439	short exon fragment
WeinellEntry3440	short exon fragment
WeinellEntry3441	short exon fragment
WeinellEntry3442	short exon fragment
WeinellEntry3443	short exon fragment
WeinellEntry3444	short exon fragment
WeinellEntry3445	short exon fragment
WeinellEntry3446	short exon fragment
WeinellEntry3447	short exon fragment
WeinellEntry3448	short exon fragment
WeinellEntry3449	short exon fragment
WeinellEntry3450	short exon fragment
WeinellEntry3451	short exon fragment
WeinellEntry3452	short exon fragment
WeinellEntry3453	short exon fragment
WeinellEntry3454	short exon fragment
WeinellEntry3455	short exon fragment
WeinellEntry3456	short exon fragment
WeinellEntry3457	short exon fragment
WeinellEntry3458	short exon fragment
WeinellEntry3459	short exon fragment
WeinellEntry3460	short exon fragment
WeinellEntry3461	short exon fragment
WeinellEntry3462	short exon fragment
WeinellEntry3463	short exon fragment
WeinellEntry3464	short exon fragment
WeinellEntry3465	short exon fragment
WeinellEntry3466	short exon fragment
WeinellEntry3467	short exon fragment
WeinellEntry3468	short exon fragment
WeinellEntry3470	short exon fragment
WeinellEntry3471	short exon fragment
WeinellEntry3472	short exon fragment
WeinellEntry3473	short exon fragment
WeinellEntry3474	short exon fragment
WeinellEntry3475	short exon fragment
WeinellEntry3476	short exon fragment
WeinellEntry3477	short exon fragment
WeinellEntry3478	short exon fragment
WeinellEntry3479	short exon fragment
WeinellEntry3480	short exon fragment
WeinellEntry3481	short exon fragment
WeinellEntry3482	short exon fragment
WeinellEntry3483	short exon fragment
WeinellEntry3484	short exon fragment
WeinellEntry3485	short exon fragment
WeinellEntry3486	short exon fragment
WeinellEntry3487	short exon fragment
WeinellEntry3488	short exon fragment
WeinellEntry3489	short exon fragment
WeinellEntry3490	short exon fragment
WeinellEntry3491	short exon fragment
WeinellEntry3492	short exon fragment
WeinellEntry3494	short exon fragment
WeinellEntry3495	short exon fragment
WeinellEntry3496	short exon fragment
WeinellEntry3497	short exon fragment
WeinellEntry3498	short exon fragment
WeinellEntry3499	short exon fragment
WeinellEntry3500	short exon fragment
WeinellEntry3501	short exon fragment
WeinellEntry3502	short exon fragment
WeinellEntry3503	short exon fragment
WeinellEntry3504	short exon fragment
WeinellEntry3505	short exon fragment
WeinellEntry3506	short exon fragment
WeinellEntry3507	short exon fragment
WeinellEntry3508	short exon fragment
WeinellEntry3509	short exon fragment
WeinellEntry3510	short exon fragment
WeinellEntry3511	short exon fragment
WeinellEntry3512	short exon fragment
WeinellEntry3513	short exon fragment
WeinellEntry3514	short exon fragment
WeinellEntry3515	short exon fragment
WeinellEntry3516	short exon fragment
WeinellEntry3517	short exon fragment
WeinellEntry3518	short exon fragment
WeinellEntry3519	short exon fragment
WeinellEntry3520	short exon fragment
WeinellEntry3521	short exon fragment
WeinellEntry3523	short exon fragment
WeinellEntry3524	short exon fragment
WeinellEntry3525	short exon fragment
WeinellEntry3526	short exon fragment
WeinellEntry3527	short exon fragment
WeinellEntry3528	short exon fragment
WeinellEntry3529	short exon fragment
WeinellEntry3530	short exon fragment
WeinellEntry3531	short exon fragment
WeinellEntry3532	short exon fragment
WeinellEntry3533	short exon fragment
WeinellEntry3534	short exon fragment
WeinellEntry3535	short exon fragment
WeinellEntry3536	short exon fragment
WeinellEntry3537	short exon fragment
WeinellEntry3538	short exon fragment
WeinellEntry3539	short exon fragment
WeinellEntry3540	short exon fragment
WeinellEntry3541	short exon fragment
WeinellEntry3542	short exon fragment
WeinellEntry3544	short exon fragment
WeinellEntry3545	short exon fragment
WeinellEntry3546	short exon fragment
WeinellEntry3547	short exon fragment
WeinellEntry3548	short exon fragment
WeinellEntry3549	short exon fragment
WeinellEntry3550	short exon fragment
WeinellEntry3551	short exon fragment
WeinellEntry3552	short exon fragment
WeinellEntry3553	short exon fragment
WeinellEntry3554	short exon fragment
WeinellEntry3556	short exon fragment
WeinellEntry3557	short exon fragment
WeinellEntry3558	short exon fragment
WeinellEntry3559	short exon fragment
WeinellEntry3560	short exon fragment
WeinellEntry3561	short exon fragment
WeinellEntry3562	short exon fragment
WeinellEntry3563	short exon fragment
WeinellEntry3564	short exon fragment
WeinellEntry3565	short exon fragment
WeinellEntry3566	short exon fragment
WeinellEntry3567	short exon fragment
WeinellEntry3568	short exon fragment
WeinellEntry3569	short exon fragment
WeinellEntry3570	short exon fragment
WeinellEntry3571	short exon fragment
WeinellEntry3572	short exon fragment
WeinellEntry3573	short exon fragment
WeinellEntry3574	short exon fragment
WeinellEntry3575	short exon fragment
WeinellEntry3576	short exon fragment
WeinellEntry3577	short exon fragment
WeinellEntry3578	short exon fragment
WeinellEntry3579	short exon fragment
WeinellEntry3580	short exon fragment
WeinellEntry3581	short exon fragment
WeinellEntry3582	short exon fragment
WeinellEntry3583	short exon fragment
WeinellEntry3584	short exon fragment
WeinellEntry3585	short exon fragment
WeinellEntry3586	short exon fragment
WeinellEntry3587	short exon fragment
WeinellEntry3588	short exon fragment
WeinellEntry3589	short exon fragment
WeinellEntry3590	short exon fragment
WeinellEntry3591	short exon fragment
WeinellEntry3592	short exon fragment
WeinellEntry3593	short exon fragment
WeinellEntry3594	short exon fragment
WeinellEntry3595	short exon fragment
WeinellEntry3597	short exon fragment
WeinellEntry3598	short exon fragment
WeinellEntry3599	short exon fragment
WeinellEntry3600	short exon fragment
WeinellEntry3601	short exon fragment
WeinellEntry3602	short exon fragment
WeinellEntry3603	short exon fragment
WeinellEntry3604	short exon fragment
WeinellEntry3605	short exon fragment
WeinellEntry3606	short exon fragment
WeinellEntry3607	short exon fragment
WeinellEntry3608	short exon fragment
WeinellEntry3609	short exon fragment
WeinellEntry3610	short exon fragment
WeinellEntry3611	short exon fragment
WeinellEntry3612	short exon fragment
WeinellEntry3613	short exon fragment
WeinellEntry3614	short exon fragment
WeinellEntry3615	short exon fragment
WeinellEntry3616	short exon fragment
WeinellEntry3617	short exon fragment
WeinellEntry3618	short exon fragment
WeinellEntry3619	short exon fragment
WeinellEntry3620	short exon fragment
WeinellEntry3621	short exon fragment
WeinellEntry3622	short exon fragment
WeinellEntry3623	short exon fragment
WeinellEntry3624	short exon fragment
WeinellEntry3626	short exon fragment
WeinellEntry3627	short exon fragment
WeinellEntry3628	short exon fragment
WeinellEntry3629	short exon fragment
WeinellEntry3630	short exon fragment
WeinellEntry3631	short exon fragment
WeinellEntry3632	short exon fragment
WeinellEntry3633	short exon fragment
WeinellEntry3634	short exon fragment
WeinellEntry3635	short exon fragment
WeinellEntry3636	short exon fragment
WeinellEntry3637	short exon fragment
WeinellEntry3638	short exon fragment
WeinellEntry3639	short exon fragment
WeinellEntry3640	short exon fragment
WeinellEntry3641	short exon fragment
WeinellEntry3642	short exon fragment
WeinellEntry3643	short exon fragment
WeinellEntry3644	short exon fragment
WeinellEntry3645	short exon fragment
WeinellEntry3646	short exon fragment
WeinellEntry3647	short exon fragment
WeinellEntry3648	short exon fragment
WeinellEntry3649	short exon fragment
WeinellEntry3650	short exon fragment
WeinellEntry3651	short exon fragment
WeinellEntry3652	short exon fragment
WeinellEntry3653	short exon fragment
WeinellEntry3654	short exon fragment
WeinellEntry3655	short exon fragment
WeinellEntry3656	short exon fragment
WeinellEntry3657	short exon fragment
WeinellEntry3658	short exon fragment
WeinellEntry3659	short exon fragment
WeinellEntry3660	short exon fragment
WeinellEntry3661	short exon fragment
WeinellEntry3662	short exon fragment
WeinellEntry3663	short exon fragment
WeinellEntry3664	short exon fragment
WeinellEntry3665	short exon fragment
WeinellEntry3666	short exon fragment
WeinellEntry3667	short exon fragment
WeinellEntry3668	short exon fragment
WeinellEntry3669	short exon fragment
WeinellEntry3670	short exon fragment
WeinellEntry3671	short exon fragment
WeinellEntry3672	short exon fragment
WeinellEntry3673	short exon fragment
WeinellEntry3674	short exon fragment
WeinellEntry3675	short exon fragment
WeinellEntry3676	short exon fragment
WeinellEntry3677	short exon fragment
WeinellEntry3678	short exon fragment
WeinellEntry3679	short exon fragment
WeinellEntry3680	short exon fragment
WeinellEntry3681	short exon fragment
WeinellEntry3682	short exon fragment
WeinellEntry3683	short exon fragment
WeinellEntry3684	short exon fragment
WeinellEntry3685	short exon fragment
WeinellEntry3686	short exon fragment
WeinellEntry3687	short exon fragment
WeinellEntry3688	short exon fragment
WeinellEntry3689	short exon fragment
WeinellEntry3690	short exon fragment
WeinellEntry3691	short exon fragment
WeinellEntry3692	short exon fragment
WeinellEntry3693	short exon fragment
WeinellEntry3694	short exon fragment
WeinellEntry3695	short exon fragment
WeinellEntry3696	short exon fragment
WeinellEntry3697	short exon fragment
WeinellEntry3698	short exon fragment
WeinellEntry3699	short exon fragment
WeinellEntry3700	short exon fragment
WeinellEntry3701	short exon fragment
WeinellEntry3702	short exon fragment
WeinellEntry3703	short exon fragment
WeinellEntry3704	short exon fragment
WeinellEntry3705	short exon fragment
WeinellEntry3706	short exon fragment
WeinellEntry3707	short exon fragment
WeinellEntry3708	short exon fragment
WeinellEntry3709	short exon fragment
WeinellEntry3710	short exon fragment
WeinellEntry3711	short exon fragment
WeinellEntry3712	short exon fragment
WeinellEntry3713	short exon fragment
WeinellEntry3714	short exon fragment
WeinellEntry3715	short exon fragment
WeinellEntry3716	short exon fragment
WeinellEntry3717	short exon fragment
WeinellEntry3718	short exon fragment
WeinellEntry3719	short exon fragment
WeinellEntry3720	short exon fragment
WeinellEntry3721	short exon fragment
WeinellEntry3722	short exon fragment
WeinellEntry3723	short exon fragment
WeinellEntry3724	short exon fragment
WeinellEntry3725	short exon fragment
WeinellEntry3726	short exon fragment
WeinellEntry3727	short exon fragment
WeinellEntry3728	short exon fragment
WeinellEntry3729	short exon fragment
WeinellEntry3730	short exon fragment
WeinellEntry3731	short exon fragment
WeinellEntry3733	short exon fragment
WeinellEntry3734	short exon fragment
WeinellEntry3735	short exon fragment
WeinellEntry3736	short exon fragment
WeinellEntry3737	short exon fragment
WeinellEntry3738	short exon fragment
WeinellEntry3739	short exon fragment
WeinellEntry3740	short exon fragment
WeinellEntry3741	short exon fragment
WeinellEntry3742	short exon fragment
WeinellEntry3743	short exon fragment
WeinellEntry3744	short exon fragment
WeinellEntry3745	short exon fragment
WeinellEntry3746	short exon fragment
WeinellEntry3747	short exon fragment
WeinellEntry3748	short exon fragment
WeinellEntry3749	short exon fragment
WeinellEntry3750	short exon fragment
WeinellEntry3751	short exon fragment
