target entry name	locus type
WeinellEntry2288	UCE
WeinellEntry2289	UCE
WeinellEntry2290	UCE
WeinellEntry2291	UCE
WeinellEntry2292	UCE
WeinellEntry2293	UCE
WeinellEntry2294	UCE
WeinellEntry2295	UCE
WeinellEntry2296	UCE
WeinellEntry2297	UCE
WeinellEntry2298	UCE
WeinellEntry2299	UCE
WeinellEntry2300	UCE
WeinellEntry2301	UCE
WeinellEntry2302	UCE
WeinellEntry2303	UCE
WeinellEntry2304	UCE
WeinellEntry2305	UCE
WeinellEntry2306	UCE
WeinellEntry2307	UCE
WeinellEntry2308	UCE
WeinellEntry2309	UCE
WeinellEntry2310	UCE
WeinellEntry2311	UCE
WeinellEntry2312	UCE
WeinellEntry2313	UCE
WeinellEntry2314	UCE
WeinellEntry2315	UCE
WeinellEntry2316	UCE
WeinellEntry2317	UCE
WeinellEntry2318	UCE
WeinellEntry2319	UCE
WeinellEntry2320	UCE
WeinellEntry2321	UCE
WeinellEntry2322	UCE
WeinellEntry2323	UCE
WeinellEntry2324	UCE
WeinellEntry2325	UCE
WeinellEntry2326	UCE
WeinellEntry2327	UCE
WeinellEntry2328	UCE
WeinellEntry2329	UCE
WeinellEntry2330	UCE
WeinellEntry2331	UCE
WeinellEntry2332	UCE
WeinellEntry2333	UCE
WeinellEntry2334	UCE
WeinellEntry2335	UCE
WeinellEntry2336	UCE
WeinellEntry2337	UCE
WeinellEntry2338	UCE
WeinellEntry2339	UCE
WeinellEntry2340	UCE
WeinellEntry2341	UCE
WeinellEntry2342	UCE
WeinellEntry2343	UCE
WeinellEntry2344	UCE
WeinellEntry2345	UCE
WeinellEntry2346	UCE
WeinellEntry2347	UCE
WeinellEntry2348	UCE
WeinellEntry2349	UCE
WeinellEntry2350	UCE
WeinellEntry2351	UCE
WeinellEntry2352	UCE
WeinellEntry2353	UCE
WeinellEntry2354	UCE
WeinellEntry2355	UCE
WeinellEntry2356	UCE
WeinellEntry2357	UCE
WeinellEntry2358	UCE
WeinellEntry2359	UCE
WeinellEntry2360	UCE
WeinellEntry2361	UCE
WeinellEntry2362	UCE
WeinellEntry2363	UCE
WeinellEntry2364	UCE
WeinellEntry2365	UCE
WeinellEntry2366	UCE
WeinellEntry2367	UCE
WeinellEntry2368	UCE
WeinellEntry2369	UCE
WeinellEntry2370	UCE
WeinellEntry2371	UCE
WeinellEntry2372	UCE
WeinellEntry2373	UCE
WeinellEntry2374	UCE
WeinellEntry2375	UCE
WeinellEntry2376	UCE
WeinellEntry2377	UCE
WeinellEntry2378	UCE
WeinellEntry2379	UCE
WeinellEntry2380	UCE
WeinellEntry2381	UCE
WeinellEntry2382	UCE
WeinellEntry2383	UCE
WeinellEntry2384	UCE
WeinellEntry2385	UCE
WeinellEntry2386	UCE
WeinellEntry2387	UCE
WeinellEntry2388	UCE
WeinellEntry2389	UCE
WeinellEntry2390	UCE
WeinellEntry2391	UCE
WeinellEntry2392	UCE
WeinellEntry2393	UCE
WeinellEntry2394	UCE
WeinellEntry2395	UCE
WeinellEntry2396	UCE
WeinellEntry2397	UCE
WeinellEntry2398	UCE
WeinellEntry2399	UCE
WeinellEntry2400	UCE
WeinellEntry2401	UCE
WeinellEntry2402	UCE
WeinellEntry2403	UCE
WeinellEntry2404	UCE
WeinellEntry2405	UCE
WeinellEntry2406	UCE
WeinellEntry2407	UCE
WeinellEntry2408	UCE
WeinellEntry2409	UCE
WeinellEntry2410	UCE
WeinellEntry2411	UCE
WeinellEntry2412	UCE
WeinellEntry2413	UCE
WeinellEntry2414	UCE
WeinellEntry2415	UCE
WeinellEntry2416	UCE
WeinellEntry2417	UCE
WeinellEntry2418	UCE
WeinellEntry2419	UCE
WeinellEntry2420	UCE
WeinellEntry2421	UCE
WeinellEntry2422	UCE
WeinellEntry2423	UCE
WeinellEntry2424	UCE
WeinellEntry2425	UCE
WeinellEntry2426	UCE
WeinellEntry2427	UCE
WeinellEntry2428	UCE
WeinellEntry2429	UCE
WeinellEntry2430	UCE
WeinellEntry2431	UCE
WeinellEntry2432	UCE
WeinellEntry2433	UCE
WeinellEntry2434	UCE
WeinellEntry2435	UCE
WeinellEntry2436	UCE
WeinellEntry2437	UCE
WeinellEntry2438	UCE
WeinellEntry2439	UCE
WeinellEntry2440	UCE
WeinellEntry2441	UCE
WeinellEntry2442	UCE
WeinellEntry2443	UCE
WeinellEntry2444	UCE
WeinellEntry2445	UCE
WeinellEntry2446	UCE
WeinellEntry2447	UCE
WeinellEntry2448	UCE
WeinellEntry2449	UCE
WeinellEntry2450	UCE
WeinellEntry2451	UCE
WeinellEntry2452	UCE
WeinellEntry2453	UCE
WeinellEntry2454	UCE
WeinellEntry2455	UCE
WeinellEntry2456	UCE
WeinellEntry2457	UCE
WeinellEntry2458	UCE
WeinellEntry2459	UCE
WeinellEntry2460	UCE
WeinellEntry2461	UCE
WeinellEntry2462	UCE
WeinellEntry2463	UCE
WeinellEntry2464	UCE
WeinellEntry2465	UCE
WeinellEntry2466	UCE
WeinellEntry2467	UCE
WeinellEntry2468	UCE
WeinellEntry2469	UCE
WeinellEntry2470	UCE
WeinellEntry2471	UCE
WeinellEntry2472	UCE
WeinellEntry2473	UCE
WeinellEntry2474	UCE
WeinellEntry2475	UCE
WeinellEntry2476	UCE
WeinellEntry2477	UCE
WeinellEntry2478	UCE
WeinellEntry2479	UCE
WeinellEntry2480	UCE
WeinellEntry2481	UCE
WeinellEntry2482	UCE
WeinellEntry2483	UCE
WeinellEntry2484	UCE
WeinellEntry2485	UCE
WeinellEntry2486	UCE
WeinellEntry2487	UCE
WeinellEntry2488	UCE
WeinellEntry2489	UCE
WeinellEntry2490	UCE
WeinellEntry2491	UCE
WeinellEntry2492	UCE
WeinellEntry2493	UCE
WeinellEntry2494	UCE
WeinellEntry2495	UCE
WeinellEntry2496	UCE
WeinellEntry2497	UCE
WeinellEntry2498	UCE
WeinellEntry2499	UCE
WeinellEntry2500	UCE
WeinellEntry2501	UCE
WeinellEntry2502	UCE
WeinellEntry2503	UCE
WeinellEntry2504	UCE
WeinellEntry2505	UCE
WeinellEntry2506	UCE
