Bait	Species
WeinellEntry720	Thamnophis_sirtalis
WeinellEntry721	Thamnophis_sirtalis
WeinellEntry722	Thamnophis_sirtalis
WeinellEntry724	Thamnophis_sirtalis
WeinellEntry725	Thamnophis_sirtalis
WeinellEntry726	Thamnophis_sirtalis
WeinellEntry727	Thamnophis_sirtalis
WeinellEntry728	Thamnophis_sirtalis
WeinellEntry729	Thamnophis_sirtalis
WeinellEntry730	Thamnophis_sirtalis
WeinellEntry732	Thamnophis_sirtalis
WeinellEntry733	Thamnophis_sirtalis
WeinellEntry734	Thamnophis_sirtalis
WeinellEntry735	Thamnophis_sirtalis
WeinellEntry736	Thamnophis_sirtalis
WeinellEntry737	Thamnophis_sirtalis
WeinellEntry738	Thamnophis_sirtalis
WeinellEntry739	Thamnophis_sirtalis
WeinellEntry740	Thamnophis_sirtalis
WeinellEntry742	Thamnophis_sirtalis
WeinellEntry743	Thamnophis_sirtalis
WeinellEntry744	Thamnophis_sirtalis
WeinellEntry745	Thamnophis_sirtalis
WeinellEntry746	Thamnophis_sirtalis
WeinellEntry747	Thamnophis_sirtalis
WeinellEntry748	Thamnophis_sirtalis
WeinellEntry750	Thamnophis_sirtalis
WeinellEntry752	Thamnophis_sirtalis
WeinellEntry753	Thamnophis_sirtalis
WeinellEntry755	Thamnophis_sirtalis
WeinellEntry756	Thamnophis_sirtalis
WeinellEntry757	Thamnophis_sirtalis
WeinellEntry758	Thamnophis_sirtalis
WeinellEntry759	Thamnophis_sirtalis
WeinellEntry760	Thamnophis_sirtalis
WeinellEntry761	Thamnophis_sirtalis
WeinellEntry762	Thamnophis_sirtalis
WeinellEntry763	Thamnophis_sirtalis
WeinellEntry764	Thamnophis_sirtalis
WeinellEntry765	Thamnophis_sirtalis
WeinellEntry766	Thamnophis_sirtalis
WeinellEntry767	Thamnophis_sirtalis
WeinellEntry768	Thamnophis_sirtalis
WeinellEntry769	Thamnophis_sirtalis
WeinellEntry770	Thamnophis_sirtalis
WeinellEntry771	Thamnophis_sirtalis
WeinellEntry773	Thamnophis_sirtalis
WeinellEntry774	Thamnophis_sirtalis
WeinellEntry775	Thamnophis_sirtalis
WeinellEntry776	Thamnophis_sirtalis
WeinellEntry777	Thamnophis_sirtalis
WeinellEntry778	Thamnophis_sirtalis
WeinellEntry780	Thamnophis_sirtalis
WeinellEntry781	Thamnophis_sirtalis
WeinellEntry782	Thamnophis_sirtalis
WeinellEntry783	Thamnophis_sirtalis
WeinellEntry784	Thamnophis_sirtalis
WeinellEntry785	Thamnophis_sirtalis
WeinellEntry786	Thamnophis_sirtalis
WeinellEntry787	Thamnophis_sirtalis
WeinellEntry788	Thamnophis_sirtalis
WeinellEntry789	Thamnophis_sirtalis
WeinellEntry790	Thamnophis_sirtalis
WeinellEntry791	Thamnophis_sirtalis
WeinellEntry792	Thamnophis_sirtalis
WeinellEntry793	Thamnophis_sirtalis
WeinellEntry794	Thamnophis_sirtalis
WeinellEntry795	Thamnophis_sirtalis
WeinellEntry796	Thamnophis_sirtalis
WeinellEntry797	Thamnophis_sirtalis
WeinellEntry798	Thamnophis_sirtalis
