"ScaffoldName"	"RefSeq.ScaffoldAccession"
"Thamnophis_sirtalis_GCF_001077635.1_read151"	"NW_013657830.1"
"Thamnophis_sirtalis_GCF_001077635.1_read152"	"NW_013657831.1"
"Thamnophis_sirtalis_GCF_001077635.1_read153"	"NW_013657832.1"
"Thamnophis_sirtalis_GCF_001077635.1_read154"	"NW_013657833.1"
"Thamnophis_sirtalis_GCF_001077635.1_read155"	"NW_013657834.1"
"Thamnophis_sirtalis_GCF_001077635.1_read156"	"NW_013657835.1"
"Thamnophis_sirtalis_GCF_001077635.1_read157"	"NW_013657836.1"
"Thamnophis_sirtalis_GCF_001077635.1_read158"	"NW_013657837.1"
"Thamnophis_sirtalis_GCF_001077635.1_read159"	"NW_013657838.1"
"Thamnophis_sirtalis_GCF_001077635.1_read160"	"NW_013657839.1"
"Thamnophis_sirtalis_GCF_001077635.1_read161"	"NW_013657840.1"
"Thamnophis_sirtalis_GCF_001077635.1_read162"	"NW_013657841.1"
"Thamnophis_sirtalis_GCF_001077635.1_read163"	"NW_013657842.1"
"Thamnophis_sirtalis_GCF_001077635.1_read164"	"NW_013657843.1"
"Thamnophis_sirtalis_GCF_001077635.1_read165"	"NW_013657844.1"
"Thamnophis_sirtalis_GCF_001077635.1_read166"	"NW_013657845.1"
"Thamnophis_sirtalis_GCF_001077635.1_read167"	"NW_013657846.1"
"Thamnophis_sirtalis_GCF_001077635.1_read168"	"NW_013657847.1"
"Thamnophis_sirtalis_GCF_001077635.1_read169"	"NW_013657848.1"
"Thamnophis_sirtalis_GCF_001077635.1_read170"	"NW_013657849.1"
"Thamnophis_sirtalis_GCF_001077635.1_read171"	"NW_013657850.1"
"Thamnophis_sirtalis_GCF_001077635.1_read172"	"NW_013657851.1"
"Thamnophis_sirtalis_GCF_001077635.1_read173"	"NW_013657852.1"
"Thamnophis_sirtalis_GCF_001077635.1_read174"	"NW_013657853.1"
"Thamnophis_sirtalis_GCF_001077635.1_read175"	"NW_013657854.1"
"Thamnophis_sirtalis_GCF_001077635.1_read176"	"NW_013657855.1"
"Thamnophis_sirtalis_GCF_001077635.1_read177"	"NW_013657856.1"
"Thamnophis_sirtalis_GCF_001077635.1_read178"	"NW_013657857.1"
"Thamnophis_sirtalis_GCF_001077635.1_read179"	"NW_013657858.1"
"Thamnophis_sirtalis_GCF_001077635.1_read180"	"NW_013657859.1"
"Thamnophis_sirtalis_GCF_001077635.1_read181"	"NW_013657860.1"
"Thamnophis_sirtalis_GCF_001077635.1_read182"	"NW_013657861.1"
"Thamnophis_sirtalis_GCF_001077635.1_read183"	"NW_013657862.1"
"Thamnophis_sirtalis_GCF_001077635.1_read184"	"NW_013657863.1"
"Thamnophis_sirtalis_GCF_001077635.1_read185"	"NW_013657864.1"
"Thamnophis_sirtalis_GCF_001077635.1_read186"	"NW_013657865.1"
"Thamnophis_sirtalis_GCF_001077635.1_read187"	"NW_013657866.1"
"Thamnophis_sirtalis_GCF_001077635.1_read188"	"NW_013657867.1"
"Thamnophis_sirtalis_GCF_001077635.1_read189"	"NW_013657868.1"
"Thamnophis_sirtalis_GCF_001077635.1_read190"	"NW_013657869.1"
"Thamnophis_sirtalis_GCF_001077635.1_read191"	"NW_013657870.1"
"Thamnophis_sirtalis_GCF_001077635.1_read192"	"NW_013657871.1"
"Thamnophis_sirtalis_GCF_001077635.1_read193"	"NW_013657872.1"
"Thamnophis_sirtalis_GCF_001077635.1_read194"	"NW_013657873.1"
