seqsPerLocus samplesPerLocus
supergroup18001 4 4
supergroup18002 2 2
supergroup18003 2 2
supergroup18004 2 2
supergroup18005 2 2
supergroup18006 3 3
supergroup18007 14 11
supergroup18008 4 4
supergroup18009 2 2
supergroup18011 6 6
supergroup18012 4 4
supergroup18013 2 2
supergroup18014 2 2
supergroup18015 3 3
supergroup18016 6 6
supergroup18017 21 17
supergroup18018 4 4
supergroup18020 3 3
supergroup18021 4 4
supergroup18022 5 5
supergroup18023 4 4
supergroup18024 5 5
supergroup18025 2 2
supergroup18026 2 2
supergroup18027 5 5
supergroup18028 4 4
supergroup18029 3 3
supergroup18030 2 2
supergroup18031 3 3
supergroup18032 4 4
supergroup18033 2 2
supergroup18034 4 4
supergroup18035 4 4
supergroup18036 4 4
supergroup18037 3 3
supergroup18038 3 3
supergroup18039 2 2
supergroup18040 2 2
supergroup18041 2 2
supergroup18042 3 3
supergroup18043 4 4
supergroup18044 2 2
supergroup18045 2 2
supergroup18046 3 3
supergroup18047 4 4
supergroup18048 2 2
supergroup18049 4 4
supergroup18050 4 4
supergroup18051 4 4
supergroup18052 2 2
supergroup18053 4 4
supergroup18054 3 3
supergroup18055 4 4
supergroup18056 2 2
supergroup18057 4 4
supergroup18058 5 5
supergroup18059 2 2
supergroup18060 3 3
supergroup18061 4 4
supergroup18062 2 2
supergroup18063 2 2
supergroup18064 3 3
supergroup18065 2 2
supergroup18066 3 3
supergroup18067 3 3
supergroup18068 4 4
supergroup18069 3 3
supergroup18070 2 2
supergroup18071 2 2
supergroup18072 2 2
supergroup18073 4 4
supergroup18075 2 2
supergroup18076 2 2
supergroup18077 2 2
supergroup18078 3 3
supergroup18079 2 2
supergroup18080 2 2
supergroup18081 4 4
supergroup18082 2 2
supergroup18083 5 5
supergroup18084 4 4
supergroup18085 2 2
supergroup18086 8 8
supergroup18087 2 2
supergroup18088 3 3
supergroup18089 3 3
supergroup18090 2 2
supergroup18091 4 4
supergroup18092 2 2
supergroup18093 5 5
supergroup18094 7 7
supergroup18095 4 4
supergroup18096 2 2
supergroup18097 2 2
supergroup18098 2 2
supergroup18099 4 4
supergroup18100 3 3
supergroup18102 4 4
supergroup18103 2 2
supergroup18104 5 5
supergroup18106 2 2
supergroup18107 3 3
supergroup18108 3 3
supergroup18109 2 2
supergroup18110 3 3
supergroup18111 2 2
supergroup18112 3 3
supergroup18113 2 2
supergroup18114 3 3
supergroup18115 2 2
supergroup18116 4 4
supergroup18117 3 3
supergroup18118 3 3
supergroup18119 2 2
supergroup18120 3 3
supergroup18121 2 2
supergroup18122 3 3
supergroup18123 2 2
supergroup18124 3 3
supergroup18125 4 4
supergroup18126 7 7
supergroup18127 2 2
supergroup18128 2 2
supergroup18129 2 2
supergroup18130 2 2
supergroup18131 2 2
supergroup18132 4 4
supergroup18133 3 3
supergroup18134 3 3
supergroup18135 7 3
supergroup18136 3 3
supergroup18137 3 3
supergroup18138 3 3
supergroup18139 3 3
supergroup18140 2 2
supergroup18141 3 3
supergroup18142 3 3
supergroup18143 4 3
supergroup18144 3 3
supergroup18145 6 5
supergroup18146 4 3
supergroup18147 3 3
supergroup18148 3 3
supergroup18149 4 3
supergroup18150 3 3
supergroup18151 6 4
supergroup18152 4 4
supergroup18153 3 3
supergroup18154 3 3
supergroup18155 5 4
supergroup18156 6 3
supergroup18157 3 3
supergroup18158 2 2
supergroup18159 2 2
supergroup18160 4 3
supergroup18161 2 2
supergroup18162 3 3
supergroup18163 3 3
supergroup18164 3 3
supergroup18165 3 3
supergroup18166 2 2
supergroup18167 4 4
supergroup18168 6 4
supergroup18169 3 3
supergroup18170 3 3
supergroup18171 3 3
supergroup18172 2 2
supergroup18173 3 3
supergroup18174 3 3
supergroup18175 3 3
supergroup18176 4 4
supergroup18177 2 2
supergroup18178 3 3
supergroup18179 3 3
supergroup18180 3 3
supergroup18181 5 3
supergroup18182 3 3
supergroup18183 4 4
supergroup18184 5 4
supergroup18185 3 3
supergroup18186 3 3
supergroup18187 3 3
supergroup18188 3 3
supergroup18189 3 3
supergroup18190 3 3
supergroup18191 3 3
supergroup18192 3 3
supergroup18193 2 2
supergroup18194 3 3
supergroup18195 3 3
supergroup18196 3 3
supergroup18197 4 4
supergroup18198 6 4
supergroup18199 6 4
supergroup18200 4 3
supergroup18201 2 2
supergroup18202 2 2
supergroup18203 3 3
supergroup18204 4 4
supergroup18205 3 3
supergroup18206 3 3
supergroup18207 3 3
supergroup18208 3 3
supergroup18209 4 3
supergroup18210 2 2
supergroup18211 3 3
supergroup18212 3 3
supergroup18213 3 3
supergroup18214 4 3
supergroup18215 3 3
supergroup18216 4 4
supergroup18217 3 3
supergroup18218 3 3
supergroup18219 4 3
supergroup18220 2 2
supergroup18221 3 3
supergroup18222 4 4
supergroup18223 3 3
supergroup18224 4 4
supergroup18225 4 3
supergroup18226 4 4
supergroup18227 2 2
supergroup18228 3 3
supergroup18229 3 3
supergroup18231 3 3
supergroup18232 6 6
supergroup18233 3 3
supergroup18234 3 3
supergroup18235 4 3
supergroup18236 2 2
supergroup18237 3 3
supergroup18238 3 3
supergroup18239 3 3
supergroup18240 3 3
supergroup18241 3 3
supergroup18242 3 3
supergroup18243 5 3
supergroup18244 4 4
supergroup18245 3 3
supergroup18246 2 2
supergroup18247 3 3
supergroup18248 3 3
supergroup18249 3 3
supergroup18251 2 2
supergroup18252 3 3
supergroup18253 4 2
supergroup18254 8 3
supergroup18255 3 3
supergroup18256 3 3
supergroup18257 3 3
supergroup18258 3 3
supergroup18259 4 4
supergroup18260 3 3
supergroup18261 3 3
supergroup18262 3 3
supergroup18263 3 3
supergroup18264 4 3
supergroup18265 5 3
supergroup18266 3 3
supergroup18267 3 3
supergroup18268 3 3
supergroup18269 3 3
supergroup18270 5 4
supergroup18271 3 3
supergroup18272 2 2
supergroup18273 3 3
supergroup18274 3 3
supergroup18275 3 3
supergroup18276 3 3
supergroup18277 3 3
supergroup18278 3 3
supergroup18279 2 2
supergroup18280 3 3
supergroup18281 3 3
supergroup18282 2 2
supergroup18283 2 2
supergroup18284 3 3
supergroup18285 5 4
supergroup18286 3 3
supergroup18287 4 3
supergroup18288 5 5
supergroup18289 8 8
supergroup18290 3 3
supergroup18291 5 5
supergroup18292 3 2
supergroup18293 3 3
supergroup18294 6 4
supergroup18295 3 3
supergroup18296 3 3
supergroup18297 3 3
supergroup18298 4 4
supergroup18299 2 2
supergroup18300 6 3
supergroup18301 3 3
supergroup18302 2 2
supergroup18303 3 3
supergroup18304 3 3
supergroup18305 4 3
supergroup18306 3 3
supergroup18307 2 2
supergroup18308 2 2
supergroup18310 2 2
supergroup18311 3 3
supergroup18312 3 3
supergroup18313 3 3
supergroup18314 2 2
supergroup18315 3 3
supergroup18316 3 3
supergroup18317 5 3
supergroup18318 4 3
supergroup18319 3 3
supergroup18320 5 4
supergroup18321 2 2
supergroup18322 3 2
supergroup18323 3 3
supergroup18324 3 3
supergroup18325 3 3
supergroup18326 3 3
supergroup18327 3 3
supergroup18328 3 3
supergroup18329 3 3
supergroup18330 3 3
supergroup18331 3 3
supergroup18332 2 2
supergroup18333 2 2
supergroup18334 2 2
supergroup18335 2 2
supergroup18336 3 3
supergroup18337 2 2
supergroup18338 4 3
supergroup18339 3 3
supergroup18340 2 2
supergroup18341 3 3
supergroup18342 4 3
supergroup18343 2 2
supergroup18344 2 2
supergroup18345 3 3
supergroup18346 3 3
supergroup18347 3 3
supergroup18348 3 3
supergroup18349 3 3
supergroup18350 2 2
supergroup18351 3 3
supergroup18352 3 3
supergroup18353 3 3
supergroup18354 3 3
supergroup18355 3 3
supergroup18356 3 3
supergroup18357 2 2
supergroup18358 5 5
supergroup18359 3 3
supergroup18360 3 3
supergroup18361 3 3
supergroup18362 3 3
supergroup18363 3 3
supergroup18364 3 3
supergroup18365 4 3
supergroup18366 3 3
supergroup18367 4 3
supergroup18368 3 3
supergroup18369 3 3
supergroup18370 3 3
supergroup18371 3 3
supergroup18372 7 4
supergroup18373 3 3
supergroup18374 5 5
supergroup18375 3 3
supergroup18376 3 3
supergroup18377 3 3
supergroup18379 3 3
supergroup18380 3 3
supergroup18381 3 3
supergroup18382 2 2
supergroup18383 5 3
supergroup18384 2 2
supergroup18385 3 3
supergroup18386 3 3
supergroup18387 4 3
supergroup18388 3 3
supergroup18389 3 3
supergroup18390 4 4
supergroup18391 3 3
supergroup18392 3 3
supergroup18393 2 2
supergroup18394 2 2
supergroup18395 3 3
supergroup18396 3 3
supergroup18397 4 4
supergroup18398 3 3
supergroup18399 3 3
supergroup18400 3 3
supergroup18401 4 3
supergroup18402 3 3
supergroup18403 3 3
supergroup18404 8 6
supergroup18405 3 3
supergroup18406 3 3
supergroup18407 2 2
supergroup18408 5 5
supergroup18409 3 3
supergroup18410 2 2
supergroup18411 2 2
supergroup18412 3 3
supergroup18413 2 2
supergroup18414 2 2
supergroup18415 2 2
supergroup18416 3 3
supergroup18417 2 2
supergroup18418 3 3
supergroup18419 6 5
supergroup18420 2 2
supergroup18421 3 3
supergroup18422 3 3
supergroup18423 3 3
supergroup18424 2 2
supergroup18425 2 2
supergroup18426 3 3
supergroup18427 5 3
supergroup18428 4 3
supergroup18429 3 3
supergroup18430 2 2
supergroup18431 3 3
supergroup18432 3 3
supergroup18433 3 3
supergroup18434 3 3
supergroup18435 2 2
supergroup18436 3 3
supergroup18437 4 3
supergroup18438 3 3
supergroup18439 3 3
supergroup18440 2 2
supergroup18441 4 4
supergroup18442 3 3
supergroup18443 3 3
supergroup18444 3 3
supergroup18445 4 3
supergroup18446 3 3
supergroup18447 2 2
supergroup18448 3 3
supergroup18449 2 2
supergroup18450 3 3
supergroup18451 3 3
supergroup18452 4 3
supergroup18453 3 3
supergroup18454 3 3
supergroup18455 3 3
supergroup18456 2 2
supergroup18457 3 3
supergroup18458 3 3
supergroup18459 2 2
supergroup18460 3 3
supergroup18461 2 2
supergroup18462 3 3
supergroup18463 3 3
supergroup18464 3 3
supergroup18465 2 2
supergroup18466 3 3
supergroup18467 3 3
supergroup18468 3 3
supergroup18469 2 2
supergroup18470 4 3
supergroup18471 3 3
supergroup18472 2 2
supergroup18473 3 3
supergroup18474 3 3
supergroup18475 3 3
supergroup18476 3 3
supergroup18477 3 3
supergroup18478 3 3
supergroup18479 8 5
supergroup18480 6 6
supergroup18481 3 3
supergroup18482 3 3
supergroup18483 3 3
supergroup18484 3 3
supergroup18485 3 3
supergroup18486 2 2
supergroup18487 5 3
supergroup18488 3 3
supergroup18489 3 3
supergroup18490 3 3
supergroup18491 2 2
supergroup18492 3 3
supergroup18493 2 2
supergroup18494 3 3
supergroup18495 2 2
supergroup18496 3 3
supergroup18497 3 3
supergroup18498 6 6
supergroup18499 3 3
supergroup18500 3 3
supergroup18501 4 4
supergroup18502 2 2
supergroup18503 2 2
supergroup18504 3 3
supergroup18505 3 3
supergroup18506 4 3
supergroup18507 3 3
supergroup18508 3 2
supergroup18509 2 2
supergroup18510 3 3
supergroup18511 4 3
supergroup18512 4 4
supergroup18513 2 2
supergroup18514 2 2
supergroup18515 3 3
supergroup18516 2 2
supergroup18517 2 2
supergroup18518 3 3
supergroup18519 3 3
supergroup18520 4 4
supergroup18521 3 3
supergroup18522 2 2
supergroup18523 3 3
supergroup18524 2 2
supergroup18525 3 3
supergroup18526 3 3
supergroup18527 2 2
supergroup18528 4 3
supergroup18529 3 3
supergroup18530 5 5
supergroup18531 4 4
supergroup18532 2 2
supergroup18533 3 3
supergroup18534 3 3
supergroup18535 3 3
supergroup18536 7 7
supergroup18537 3 3
supergroup18538 3 3
supergroup18539 3 3
supergroup18540 3 3
supergroup18541 2 2
supergroup18542 2 2
supergroup18543 3 3
supergroup18544 3 3
supergroup18545 3 3
supergroup18546 3 3
supergroup18547 3 3
supergroup18548 3 3
supergroup18549 3 3
supergroup18550 2 2
supergroup18551 6 4
supergroup18552 3 3
supergroup18553 2 2
supergroup18554 3 3
supergroup18555 4 4
supergroup18556 4 3
supergroup18557 3 3
supergroup18558 3 3
supergroup18559 5 3
supergroup18560 3 3
supergroup18561 4 3
supergroup18562 2 2
supergroup18563 3 3
supergroup18564 3 3
supergroup18565 2 2
supergroup18566 4 4
supergroup18567 2 2
supergroup18568 2 2
supergroup18569 6 3
supergroup18570 4 3
supergroup18571 3 3
supergroup18572 2 2
supergroup18573 3 3
supergroup18574 3 3
supergroup18575 2 2
supergroup18576 2 2
supergroup18577 3 3
supergroup18578 4 3
supergroup18579 3 3
supergroup18580 3 3
supergroup18581 3 3
supergroup18582 4 4
supergroup18583 4 3
supergroup18584 3 3
supergroup18585 3 3
supergroup18586 3 3
supergroup18587 3 3
supergroup18588 2 2
supergroup18589 2 2
supergroup18590 3 3
supergroup18591 3 3
supergroup18592 2 2
supergroup18593 3 3
supergroup18594 3 3
supergroup18595 3 3
supergroup18596 5 3
supergroup18597 3 3
supergroup18598 4 4
supergroup18599 7 3
supergroup18600 3 3
supergroup18601 3 3
supergroup18602 3 3
supergroup18603 4 4
supergroup18604 4 3
supergroup18605 3 3
supergroup18606 2 2
supergroup18607 3 3
supergroup18608 3 3
supergroup18609 3 3
supergroup18610 3 3
supergroup18611 3 3
supergroup18612 3 2
supergroup18613 3 3
supergroup18614 4 3
supergroup18615 5 4
supergroup18616 3 3
supergroup18617 3 3
supergroup18618 3 3
supergroup18619 2 2
supergroup18620 3 3
supergroup18621 3 3
supergroup18622 3 3
supergroup18623 3 3
supergroup18624 2 2
supergroup18625 3 3
supergroup18626 3 3
supergroup18627 3 3
supergroup18628 4 4
supergroup18629 2 2
supergroup18630 3 3
supergroup18631 2 2
supergroup18632 2 2
supergroup18633 3 3
supergroup18634 3 3
supergroup18635 3 3
supergroup18636 2 2
supergroup18637 3 3
supergroup18638 3 3
supergroup18639 4 4
supergroup18640 2 2
supergroup18641 3 3
supergroup18642 3 3
supergroup18643 3 3
supergroup18644 3 3
supergroup18645 3 3
supergroup18646 3 3
supergroup18647 7 7
supergroup18648 3 3
supergroup18649 4 4
supergroup18650 3 3
supergroup18651 3 3
supergroup18652 3 3
supergroup18653 3 3
supergroup18654 6 4
supergroup18655 3 3
supergroup18656 2 2
supergroup18657 3 3
supergroup18658 3 3
supergroup18659 4 4
supergroup18660 2 2
seqsPerLocus samplesPerLocus
supergroup18661 3 3
supergroup18662 3 3
supergroup18663 3 3
supergroup18664 2 2
supergroup18665 4 4
supergroup18666 3 3
supergroup18667 3 3
supergroup18668 3 3
supergroup18669 3 3
supergroup18670 3 3
supergroup18671 2 2
supergroup18672 3 3
supergroup18673 3 3
supergroup18674 3 3
supergroup18675 3 3
supergroup18676 3 3
supergroup18677 2 2
supergroup18678 3 3
supergroup18679 3 3
supergroup18680 3 3
supergroup18681 3 3
supergroup18682 3 3
supergroup18683 3 3
supergroup18684 3 3
supergroup18685 3 3
supergroup18686 3 3
supergroup18687 3 3
supergroup18688 3 3
supergroup18689 12 10
supergroup18690 2 2
supergroup18691 3 3
supergroup18692 2 2
supergroup18693 3 3
supergroup18694 3 3
supergroup18695 2 2
supergroup18696 3 3
supergroup18697 3 3
supergroup18698 2 2
supergroup18699 3 3
supergroup18700 4 4
supergroup18701 4 4
supergroup18702 3 3
supergroup18703 3 3
supergroup18704 3 3
supergroup18705 2 2
supergroup18706 3 3
supergroup18707 3 3
supergroup18708 3 3
supergroup18709 3 3
supergroup18710 2 2
supergroup18711 2 2
supergroup18712 3 3
supergroup18713 3 3
supergroup18714 3 3
supergroup18715 3 3
supergroup18716 3 3
supergroup18717 3 3
supergroup18718 3 3
supergroup18719 14 14
supergroup18720 3 3
supergroup18721 3 3
supergroup18722 3 3
supergroup18723 4 3
supergroup18724 3 3
supergroup18725 2 2
supergroup18726 3 3
supergroup18727 2 2
supergroup18728 3 3
supergroup18729 4 4
supergroup18730 3 3
supergroup18731 3 3
supergroup18732 3 3
supergroup18733 3 3
supergroup18734 2 2
supergroup18735 3 3
supergroup18736 21 20
supergroup18738 2 2
supergroup18739 2 2
supergroup18740 3 3
supergroup18741 3 3
supergroup18742 2 2
supergroup18743 3 3
supergroup18744 3 3
supergroup18745 3 3
supergroup18746 4 3
supergroup18747 3 3
supergroup18748 3 3
supergroup18749 2 2
supergroup18750 3 3
supergroup18751 4 3
supergroup18752 3 3
supergroup18753 3 3
supergroup18754 2 2
supergroup18755 7 7
supergroup18756 3 3
supergroup18757 3 3
supergroup18758 3 3
supergroup18759 3 3
supergroup18760 2 2
supergroup18761 4 3
supergroup18762 3 3
supergroup18763 3 3
supergroup18764 3 3
supergroup18765 2 2
supergroup18766 4 4
supergroup18767 3 3
supergroup18768 4 3
supergroup18769 3 3
supergroup18770 2 2
supergroup18771 5 5
supergroup18772 3 3
supergroup18773 3 3
supergroup18774 4 4
supergroup18775 3 3
supergroup18776 2 2
supergroup18777 3 3
supergroup18778 3 3
supergroup18779 3 3
supergroup18780 3 3
supergroup18781 3 3
supergroup18782 3 3
supergroup18783 3 3
supergroup18784 2 2
supergroup18785 3 3
supergroup18786 3 3
supergroup18787 2 2
supergroup18788 3 3
supergroup18789 3 3
supergroup18790 3 3
supergroup18791 2 2
supergroup18792 2 2
supergroup18793 3 3
supergroup18794 2 2
supergroup18795 2 2
supergroup18796 2 2
supergroup18797 3 3
supergroup18798 2 2
supergroup18799 3 3
supergroup18800 3 3
supergroup18801 3 3
supergroup18802 2 2
supergroup18803 3 3
supergroup18804 4 4
supergroup18805 3 3
supergroup18806 2 2
supergroup18807 3 3
supergroup18808 15 14
supergroup18809 3 3
supergroup18810 4 4
supergroup18811 2 2
supergroup18812 3 3
supergroup18813 4 4
supergroup18814 2 2
supergroup18815 5 3
supergroup18816 3 3
supergroup18817 3 3
supergroup18818 2 2
supergroup18819 4 4
supergroup18820 3 3
supergroup18821 3 3
supergroup18822 2 2
supergroup18823 3 3
supergroup18824 5 5
supergroup18825 2 2
supergroup18826 3 3
supergroup18827 3 3
supergroup18828 4 4
supergroup18829 3 3
supergroup18830 3 3
supergroup18831 3 3
supergroup18832 3 3
supergroup18833 3 3
supergroup18834 2 2
supergroup18835 3 3
supergroup18836 3 3
supergroup18837 3 3
supergroup18838 2 2
supergroup18839 2 2
supergroup18840 3 3
supergroup18841 3 3
supergroup18842 3 3
supergroup18843 3 3
supergroup18844 3 3
supergroup18845 3 3
supergroup18846 3 3
supergroup18847 3 3
supergroup18848 3 3
supergroup18849 3 3
supergroup18850 3 3
supergroup18851 3 3
supergroup18852 2 2
supergroup18853 2 2
supergroup18854 2 2
supergroup18855 3 3
supergroup18856 2 2
supergroup18857 2 2
supergroup18858 3 3
supergroup18859 2 2
supergroup18860 3 3
supergroup18861 3 3
supergroup18862 3 3
supergroup18863 3 3
supergroup18864 3 3
supergroup18865 3 3
supergroup18866 3 3
supergroup18867 3 3
supergroup18868 3 3
supergroup18869 2 2
supergroup18870 3 3
supergroup18871 3 3
supergroup18872 3 3
supergroup18873 3 3
supergroup18874 2 2
supergroup18875 2 2
supergroup18876 2 2
supergroup18877 3 3
supergroup18878 3 3
supergroup18879 2 2
supergroup18880 4 4
supergroup18881 3 3
supergroup18882 2 2
supergroup18883 3 3
supergroup18884 2 2
supergroup18885 2 2
supergroup18886 2 2
supergroup18887 3 3
supergroup18888 3 3
supergroup18889 4 4
supergroup18890 2 2
supergroup18891 2 2
supergroup18892 3 3
supergroup18893 3 3
supergroup18894 3 3
supergroup18895 2 2
supergroup18896 3 3
supergroup18897 3 3
supergroup18898 3 3
supergroup18899 2 2
supergroup18900 2 2
supergroup18901 3 3
supergroup18902 3 3
supergroup18903 3 3
supergroup18904 4 3
supergroup18905 3 3
supergroup18906 3 3
supergroup18907 3 3
supergroup18908 7 7
supergroup18909 3 3
supergroup18910 2 2
supergroup18911 3 3
supergroup18912 3 3
supergroup18913 3 3
supergroup18914 3 3
supergroup18915 3 3
supergroup18916 3 3
supergroup18917 3 3
supergroup18918 3 3
supergroup18919 3 3
supergroup18920 2 2
supergroup18921 2 2
supergroup18923 3 3
supergroup18924 3 3
supergroup18925 3 3
supergroup18926 3 3
supergroup18928 3 3
supergroup18929 4 3
supergroup18930 3 3
supergroup18931 2 2
supergroup18932 2 2
supergroup18933 2 2
supergroup18934 2 2
supergroup18935 3 3
supergroup18936 3 3
supergroup18937 3 3
supergroup18938 3 3
supergroup18939 3 3
supergroup18940 2 2
supergroup18941 4 3
supergroup18942 3 3
supergroup18943 4 4
supergroup18944 3 3
supergroup18945 2 2
supergroup18946 3 3
supergroup18947 2 2
supergroup18948 3 3
supergroup18949 3 3
supergroup18950 2 2
supergroup18951 3 3
supergroup18952 3 3
supergroup18953 2 2
supergroup18954 2 2
supergroup18955 3 3
supergroup18956 3 3
supergroup18957 3 3
supergroup18958 3 3
supergroup18959 2 2
supergroup18960 2 2
supergroup18961 2 2
supergroup18962 3 3
supergroup18963 3 3
supergroup18964 3 3
supergroup18965 2 2
supergroup18966 2 2
supergroup18968 5 4
supergroup18969 3 3
supergroup18970 2 2
supergroup18971 2 2
supergroup18972 3 3
supergroup18973 2 2
supergroup18974 2 2
supergroup18975 4 4
supergroup18976 2 2
supergroup18977 3 3
supergroup18978 3 3
supergroup18979 3 3
supergroup18980 3 3
supergroup18981 3 3
supergroup18982 3 3
supergroup18983 3 3
supergroup18984 2 2
supergroup18985 12 12
supergroup18986 3 3
supergroup18987 3 3
supergroup18988 2 2
supergroup18989 5 3
supergroup18990 3 3
supergroup18991 3 3
supergroup18992 3 3
supergroup18993 2 2
supergroup18994 3 3
supergroup18995 2 2
supergroup18996 3 3
supergroup18997 3 3
supergroup18998 3 3
supergroup18999 2 2
supergroup19000 2 2
supergroup19001 3 3
supergroup19002 2 2
supergroup19003 3 3
supergroup19004 2 2
supergroup19005 3 3
supergroup19006 2 2
supergroup19007 3 3
supergroup19008 2 2
supergroup19009 3 3
supergroup19010 3 3
supergroup19011 3 3
supergroup19012 3 3
supergroup19013 2 2
supergroup19014 8 8
supergroup19015 2 2
supergroup19016 3 3
supergroup19017 3 3
supergroup19018 3 3
supergroup19019 2 2
supergroup19020 3 3
supergroup19021 3 3
supergroup19022 3 3
supergroup19023 2 2
supergroup19024 3 3
supergroup19025 2 2
supergroup19026 3 3
supergroup19027 4 4
supergroup19028 3 3
supergroup19029 2 2
supergroup19030 3 3
supergroup19031 3 3
supergroup19032 3 3
supergroup19033 3 3
supergroup19034 2 2
supergroup19035 2 2
supergroup19036 2 2
supergroup19037 2 2
supergroup19038 3 3
supergroup19039 2 2
supergroup19040 3 3
supergroup19041 3 3
supergroup19042 2 2
supergroup19043 3 3
supergroup19044 3 3
supergroup19045 2 2
supergroup19046 2 2
supergroup19047 3 3
supergroup19048 3 3
supergroup19049 3 3
supergroup19050 3 3
supergroup19051 2 2
supergroup19052 2 2
supergroup19053 3 3
supergroup19054 3 3
supergroup19055 3 3
supergroup19056 2 2
supergroup19057 3 3
supergroup19058 3 3
supergroup19059 3 3
supergroup19060 3 3
supergroup19061 4 4
supergroup19062 3 3
supergroup19063 2 2
supergroup19064 2 2
supergroup19065 3 3
supergroup19066 4 4
supergroup19067 3 3
supergroup19068 3 3
supergroup19069 2 2
supergroup19070 2 2
supergroup19071 2 2
supergroup19072 3 3
supergroup19073 2 2
supergroup19074 3 3
supergroup19075 3 3
supergroup19076 2 2
supergroup19077 3 3
supergroup19078 2 2
supergroup19079 2 2
supergroup19080 3 3
supergroup19081 4 4
supergroup19082 2 2
supergroup19083 3 3
supergroup19084 4 4
supergroup19085 2 2
supergroup19086 2 2
supergroup19087 3 3
supergroup19088 5 4
supergroup19089 3 3
supergroup19090 3 3
supergroup19091 3 3
supergroup19092 5 5
supergroup19093 3 3
supergroup19094 3 3
supergroup19095 2 2
supergroup19096 3 3
supergroup19097 2 2
supergroup19098 3 3
supergroup19099 2 2
supergroup19100 3 3
supergroup19101 3 3
supergroup19102 4 3
supergroup19103 3 3
supergroup19104 2 2
supergroup19105 3 3
supergroup19106 2 2
supergroup19107 3 3
supergroup19108 3 3
supergroup19109 3 3
supergroup19110 6 4
supergroup19111 2 2
supergroup19112 4 3
supergroup19113 4 4
supergroup19114 2 2
supergroup19115 3 3
supergroup19116 2 2
supergroup19117 2 2
supergroup19118 3 3
supergroup19119 4 4
supergroup19120 3 3
supergroup19121 2 2
supergroup19122 3 3
supergroup19123 2 2
supergroup19124 3 3
supergroup19125 2 2
supergroup19126 2 2
supergroup19127 2 2
supergroup19128 3 3
supergroup19129 3 3
supergroup19130 3 3
supergroup19131 3 3
supergroup19132 3 3
supergroup19133 2 2
supergroup19134 5 5
supergroup19135 2 2
supergroup19136 2 2
supergroup19137 2 2
supergroup19138 3 3
supergroup19139 3 3
supergroup19140 2 2
supergroup19141 3 3
supergroup19142 2 2
supergroup19143 4 4
supergroup19144 3 3
supergroup19145 3 3
supergroup19146 3 3
supergroup19147 2 2
supergroup19148 3 3
supergroup19149 5 5
supergroup19150 2 2
supergroup19151 2 2
supergroup19152 3 3
supergroup19153 3 3
supergroup19154 3 3
supergroup19155 2 2
supergroup19156 3 3
supergroup19157 3 3
supergroup19158 3 3
supergroup19159 3 3
supergroup19160 4 4
supergroup19161 3 3
supergroup19162 3 3
supergroup19163 2 2
supergroup19164 3 3
supergroup19165 3 3
supergroup19166 3 3
supergroup19167 2 2
supergroup19168 3 3
supergroup19169 3 3
supergroup19170 3 3
supergroup19171 2 2
supergroup19172 3 3
supergroup19173 3 2
supergroup19174 3 3
supergroup19175 4 4
supergroup19176 3 3
supergroup19177 2 2
supergroup19178 2 2
supergroup19179 2 2
supergroup19180 2 2
supergroup19181 3 3
supergroup19182 3 3
supergroup19183 3 3
supergroup19184 4 4
supergroup19185 2 2
supergroup19186 3 3
supergroup19187 3 3
supergroup19188 3 3
supergroup19189 3 3
supergroup19190 3 3
supergroup19191 2 2
supergroup19192 3 3
supergroup19193 3 3
supergroup19194 2 2
supergroup19195 3 3
supergroup19196 3 3
supergroup19197 2 2
supergroup19198 2 2
supergroup19199 4 4
supergroup19200 2 2
supergroup19201 3 3
supergroup19202 6 6
supergroup19203 3 3
supergroup19205 2 2
supergroup19206 2 2
supergroup19207 2 2
supergroup19208 3 3
supergroup19209 3 3
supergroup19210 3 3
supergroup19211 4 4
supergroup19212 2 2
supergroup19213 2 2
supergroup19214 3 3
supergroup19215 3 3
supergroup19216 2 2
supergroup19217 2 2
supergroup19218 2 2
supergroup19219 3 3
supergroup19220 2 2
supergroup19221 3 3
supergroup19222 2 2
supergroup19223 2 2
supergroup19224 3 3
supergroup19225 4 4
supergroup19226 3 3
supergroup19227 2 2
supergroup19228 3 3
supergroup19229 3 3
supergroup19230 2 2
supergroup19231 2 2
supergroup19232 2 2
supergroup19233 2 2
supergroup19234 3 3
supergroup19235 3 3
supergroup19236 2 2
supergroup19237 2 2
supergroup19238 5 3
supergroup19239 3 3
supergroup19240 4 4
supergroup19241 2 2
supergroup19242 2 2
supergroup19243 4 4
supergroup19244 2 2
supergroup19245 4 3
supergroup19246 4 4
supergroup19247 2 2
supergroup19248 3 3
supergroup19249 3 3
supergroup19250 2 2
supergroup19251 3 2
supergroup19252 3 3
supergroup19253 3 3
supergroup19254 3 3
supergroup19255 3 3
supergroup19256 3 3
supergroup19257 3 3
supergroup19258 2 2
supergroup19259 2 2
supergroup19260 3 3
supergroup19261 4 4
supergroup19262 3 3
supergroup19263 4 4
supergroup19264 3 3
supergroup19265 3 3
supergroup19266 4 4
supergroup19267 3 3
supergroup19268 2 2
supergroup19269 2 2
supergroup19270 4 4
supergroup19271 3 3
supergroup19272 2 2
supergroup19273 2 2
supergroup19274 3 3
supergroup19275 3 3
supergroup19276 3 3
supergroup19277 3 3
supergroup19278 3 3
supergroup19279 4 4
supergroup19280 2 2
supergroup19281 4 4
supergroup19282 3 3
supergroup19283 2 2
