seqsPerLocus samplesPerLocus
supergroup495 20 20
supergroup496 61 49
supergroup497 35 35
supergroup498 16 16
supergroup499 35 35
supergroup500 35 35
supergroup501 32 32
supergroup502 40 35
supergroup503 26 26
supergroup504 28 23
supergroup505 34 34
supergroup506 35 35
supergroup507 34 34
supergroup508 34 34
supergroup509 35 35
supergroup510 37 35
supergroup511 60 35
supergroup512 32 32
supergroup513 35 35
supergroup514 20 20
supergroup515 31 31
supergroup516 43 37
supergroup517 44 37
supergroup518 69 35
supergroup519 35 35
supergroup520 34 33
supergroup521 32 32
supergroup522 34 34
supergroup523 76 37
supergroup524 34 34
supergroup525 34 34
supergroup526 34 34
supergroup527 54 51
supergroup528 33 33
supergroup529 65 35
supergroup530 34 34
supergroup531 61 60
supergroup532 135 63
supergroup533 53 32
supergroup534 29 29
supergroup535 35 35
supergroup536 36 29
supergroup537 123 62
supergroup538 61 60
supergroup539 35 35
supergroup540 83 35
supergroup541 34 34
supergroup542 24 24
supergroup543 58 56
supergroup544 35 35
supergroup545 35 35
supergroup546 177 35
supergroup547 70 37
supergroup548 74 44
supergroup549 48 34
supergroup550 25 25
supergroup551 63 60
supergroup552 75 50
supergroup553 54 54
supergroup554 111 62
supergroup555 80 62
supergroup556 134 35
supergroup557 39 35
supergroup558 40 28
supergroup559 61 61
supergroup560 64 61
supergroup561 16 16
supergroup562 12 12
supergroup563 17 16
supergroup564 4 4
supergroup565 118 59
supergroup566 92 61
supergroup567 35 35
supergroup568 25 23
supergroup569 11 11
supergroup570 36 35
supergroup571 119 62
supergroup572 36 24
supergroup573 27 26
supergroup574 38 28
supergroup575 24 24
supergroup576 88 62
supergroup577 15 15
supergroup578 59 59
supergroup579 27 22
supergroup580 70 44
supergroup581 45 40
supergroup582 48 47
supergroup583 26 23
supergroup584 3 3
supergroup585 52 48
supergroup586 11 10
supergroup587 22 22
supergroup588 26 26
supergroup589 10 10
supergroup590 15 15
supergroup591 51 29
supergroup592 30 29
supergroup593 10 10
supergroup594 30 27
supergroup595 29 28
supergroup596 54 43
supergroup597 66 41
supergroup598 50 50
supergroup599 58 31
supergroup600 94 54
supergroup601 29 29
supergroup602 34 34
supergroup603 75 32
supergroup604 33 33
supergroup605 25 24
supergroup606 34 34
supergroup607 56 53
supergroup608 60 32
supergroup609 76 44
supergroup610 36 35
supergroup611 35 35
supergroup612 40 34
supergroup613 62 50
supergroup614 36 35
supergroup615 69 37
supergroup616 33 33
supergroup617 36 35
supergroup618 45 34
supergroup619 61 34
supergroup620 35 33
supergroup621 52 35
supergroup622 61 59
supergroup623 16 14
supergroup624 62 61
supergroup625 62 34
supergroup626 32 32
supergroup627 35 35
supergroup628 56 42
supergroup629 36 35
supergroup630 126 62
supergroup631 63 62
supergroup632 59 58
supergroup633 65 35
supergroup634 61 60
supergroup635 29 29
supergroup636 35 35
supergroup637 42 33
supergroup638 69 35
supergroup639 34 34
supergroup640 131 34
supergroup641 31 28
supergroup642 64 63
supergroup643 68 58
supergroup644 33 33
supergroup645 114 62
supergroup646 52 35
supergroup647 61 61
supergroup648 35 35
supergroup650 50 35
supergroup651 35 35
supergroup652 34 34
supergroup653 34 34
supergroup654 67 59
supergroup655 35 35
supergroup656 35 35
supergroup657 64 62
supergroup658 66 35
supergroup659 62 61
supergroup660 76 55
supergroup661 62 62
supergroup662 58 58
supergroup663 64 63
supergroup664 34 34
supergroup665 35 35
supergroup666 43 33
supergroup667 33 33
supergroup668 35 35
supergroup669 34 34
supergroup670 89 61
supergroup671 39 35
supergroup672 34 34
supergroup673 35 29
supergroup674 117 62
supergroup675 35 35
supergroup676 33 33
supergroup677 35 35
supergroup678 38 35
supergroup679 37 35
supergroup680 61 34
supergroup681 63 63
supergroup682 68 43
supergroup683 61 34
supergroup684 102 34
supergroup685 62 61
supergroup686 66 52
supergroup687 22 22
supergroup688 34 30
supergroup689 35 35
supergroup690 35 35
supergroup691 50 49
supergroup692 35 35
supergroup693 88 51
supergroup694 45 45
supergroup695 37 35
supergroup696 63 62
supergroup697 37 37
supergroup699 33 33
supergroup700 20 20
supergroup701 34 34
supergroup702 28 28
supergroup703 16 16
supergroup704 15 15
supergroup705 33 27
supergroup706 22 22
supergroup707 81 35
supergroup708 89 62
supergroup709 11 11
supergroup710 57 56
supergroup711 60 60
supergroup712 63 45
supergroup713 81 57
supergroup714 43 41
supergroup715 60 51
supergroup716 102 57
supergroup717 25 25
supergroup718 28 28
supergroup719 39 39
supergroup720 23 23
supergroup721 55 33
supergroup722 28 23
supergroup723 27 27
supergroup724 17 17
supergroup725 30 30
supergroup727 21 21
supergroup728 50 31
supergroup729 35 30
supergroup730 20 20
supergroup731 23 23
supergroup732 36 34
supergroup733 34 33
supergroup734 32 31
supergroup735 35 32
supergroup736 91 33
supergroup737 33 32
supergroup738 45 34
supergroup739 33 33
supergroup740 35 35
supergroup741 37 35
supergroup742 92 33
supergroup743 27 27
supergroup744 39 34
supergroup745 31 31
supergroup746 33 33
supergroup747 33 33
supergroup748 33 31
supergroup749 37 31
supergroup750 33 33
supergroup751 32 32
supergroup752 32 32
supergroup753 29 29
supergroup754 35 32
supergroup755 32 32
supergroup756 33 33
supergroup757 33 33
supergroup758 30 30
supergroup759 35 33
supergroup760 98 34
supergroup761 33 32
supergroup762 30 30
supergroup763 32 28
supergroup764 56 31
supergroup765 203 34
supergroup766 83 59
supergroup767 34 34
supergroup768 30 30
supergroup769 33 32
supergroup771 94 60
supergroup772 56 33
supergroup773 58 56
supergroup774 34 34
supergroup775 31 31
supergroup776 84 62
supergroup777 40 33
supergroup778 31 31
supergroup779 87 62
supergroup780 31 31
supergroup781 31 31
supergroup782 33 33
supergroup783 35 35
supergroup784 69 35
supergroup785 28 28
supergroup786 64 61
supergroup787 54 53
supergroup788 115 33
supergroup789 56 35
supergroup790 29 29
supergroup791 61 60
supergroup792 26 26
supergroup793 15 15
supergroup794 37 34
supergroup795 27 27
supergroup796 62 60
supergroup797 34 34
supergroup798 34 34
supergroup799 33 33
supergroup800 35 35
supergroup801 32 32
supergroup802 34 34
supergroup803 37 33
supergroup804 33 33
supergroup805 25 25
supergroup806 76 33
supergroup807 25 25
supergroup808 48 48
supergroup809 73 35
supergroup810 10 10
supergroup811 43 43
supergroup812 39 33
supergroup813 26 26
supergroup814 62 35
supergroup815 33 33
supergroup816 28 28
supergroup817 52 52
supergroup818 33 30
supergroup819 49 32
supergroup820 60 52
supergroup821 33 31
supergroup822 16 16
supergroup823 29 24
supergroup824 84 53
supergroup825 29 29
supergroup826 61 57
supergroup827 8 8
supergroup828 60 53
supergroup829 87 54
supergroup830 36 36
supergroup831 38 35
supergroup832 9 9
supergroup833 18 18
supergroup834 33 33
supergroup835 22 22
supergroup836 4 4
supergroup837 43 43
supergroup838 94 56
supergroup839 13 13
supergroup840 7 7
supergroup841 18 18
