group232	1	214585136	214597158
group233	1	131520419	131536121
group234	5	61920002	61924373
group237	4	169660001	169669559
group239	2	162347273	162352420
group240	2	182338073	182340000
group241	3	146237127	146240000
group242	3	223198737	223200000
group244	4	87760001	87776266
group245	1	57495192	57500000
group247	Z	146860634	146872860
group248	MIC_6	252163	259447
group249	MIC_6	10340002	10360000
group251	Z	124374332	124380000
group252	MIC_6	6092278	6100000
group253	4	58807330	58820000
group255	1	261684851	261698164
group256	MIC_3	25062402	25070628
group258	MIC_7	1360001	1361734
group259	3	174820404	174826815
group262	4	110145564	110158705
group263	2	188124434	188137157
group264	1	317274413	317278470
group265	1	24408148	24419758
group266	MIC_9	14815911	14820000
group267	1	156867370	156880000
group269	MIC_7	2220001	2221297
group271	MIC_6	4063232	4079950
group272	1	248297984	248300000
group275	1	24420001	24430126
group278	Z	9000001	9002510
group279	MIC_5	13620002	13632122
group281	2	18703332	18716634
group285	2	21051859	21060000
group286	Z	59967699	59977769
group289	3	595638	598224
group290	Z	148111572	148120000
group291	MIC_10	703976	710390
group293	MIC_10	5302407	5316865
group294	2	134461838	134476004
group295	3	11281538	11298204
group297	3	222787451	222798601
group298	3	38807012	38819767
group299	2	289700002	289705635
group301	1	278264187	278278835
group302	2	160760001	160766434
group304	MIC_9	10500222	10519952
group305	MIC_10	5190805	5199944
group306	4	124260001	124276541
group308	4	93713584	93719669
group309	Z	114650492	114659926
group312	2	151862628	151868834
group313	MIC_1	7001916	7018960
group314	Z	133400001	133407052
group315	MIC_11	7614919	7616468
group316	MIC_5	12767315	12780000
group318	4	61489526	61498669
group319	2	38642999	38657918
group320	Z	104208525	104210188
group321	1	251150121	251154042
group322	3	28104484	28107638
group323	1	257304524	257315794
group325	3	16894374	16898587
group326	MIC_3	23500001	23506222
group327	MIC_5	3522093	3539998
group329	Z	4165638	4175181
group330	Z	127120002	127132772
group332	MIC_8	4514015	4520000
group333	2	134172514	134177523
group339	7	45126378	45137642
group340	MIC_10	327181	334466
group341	1	79103367	79119445
group342	MIC_4	5061846	5080000
group343	2	72241050	72253199
group345	3	76568477	76580000
group346	MIC_3	10162756	10172779
group348	Z	4128116	4139516
group349	Z	135082237	135096416
group352	MIC_6	3146476	3150032
group353	MIC_5	21160001	21168608
group354	1	108881699	108888935
group355	1	374648477	374660000
group357	3	143540002	143557685
group360	1	250180896	250196738
group361	Z	86363940	86379156
group363	MIC_4	7734509	7739999
group364	5	31425901	31436334
group365	MIC_8	8070031	8080000
group367	MIC_3	13660403	13676374
group368	MIC_1	2282902	2289234
group369	7	23520001	23524585
group370	3	47981202	47995712
group371	MIC_8	5420001	5425956
group372	MIC_9	12140002	12150705
group373	MIC_11	9880001	9883006
group374	2	37100001	37118984
group375	2	233582987	233590761
group378	4	189086469	189088821
group379	MIC_3	16700064	16707089
group380	MIC_4	6200264	6219670
group381	1	73289591	73300000
group382	1	185987108	186000000
group383	MIC_9	11480001	11483487
group384	4	139685066	139699994
group385	MIC_1	30301939	30312597
group386	MIC_6	4440076	4455358
group387	MIC_4	3403285	3420000
group388	1	25642009	25660000
group390	6	35140001	35159000
group392	2	188652984	188658290
group394	1	302942054	302959714
group395	Z	57390789	57400000
group396	4	26220001	26232238
group397	3	7561266	7566706
group398	1	368281288	368300000
group399	MIC_6	9971281	9974489
group400	1	259366660	259380000
group401	2	8470938	8478969
group402	3	64403417	64410729
group403	7	34743131	34757210
group404	MIC_1	29701925	29718197
group406	MIC_3	23047132	23059928
group408	MIC_10	880001	897569
group412	5	25020001	25038972
group414	2	215144469	215153495
